Date,7-day hospitalizations average
10/1/2020,11.91708991
10/2/2020,11.22951654
10/3/2020,11.0699013
10/4/2020,11.4934956
10/5/2020,12.2445058
10/6/2020,11.88025562
10/7/2020,12.95897405
10/8/2020,14.93013464
10/9/2020,15.78469011
10/10/2020,15.63735296
10/11/2020,15.74785583
10/12/2020,16.07936441
10/13/2020,16.37403871
10/14/2020,15.38872152
10/15/2020,14.31131861
10/16/2020,15.30584437
10/17/2020,15.57596248
10/18/2020,15.01117007
10/19/2020,14.71649577
10/20/2020,14.31131861
10/21/2020,14.59371481
10/22/2020,15.02958722
10/23/2020,14.37270909
10/24/2020,14.3358748
10/25/2020,15.17078532
10/26/2020,15.97704695
10/27/2020,16.94292382
10/28/2020,17.70007307
10/29/2020,17.49134544
10/30/2020,17.51590163
10/31/2020,17.83513212
11/1/2020,18.66513141
11/2/2020,19.73823699
11/3/2020,19.79962746
11/4/2020,19.79962746
11/5/2020,20.75731894
11/6/2020,22.68498
11/7/2020,24.1583515
11/8/2020,24.88275916
11/9/2020,26.2133978
11/10/2020,29.0118828
11/11/2020,31.49451379
11/12/2020,33.34543674
11/13/2020,33.75982248
11/14/2020,35.32360542
11/15/2020,37.11174265
11/16/2020,36.63289691
11/17/2020,36.22771975
11/18/2020,36.53467214
11/19/2020,36.6697312
11/20/2020,36.59606262
11/21/2020,36.17615175
11/22/2020,35.52786828
11/23/2020,36.38979061
11/24/2020,36.22771975
11/25/2020,35.34369684
11/26/2020,35.06948604
11/27/2020,35.491034
11/28/2020,36.09266069
11/29/2020,36.25227594
11/30/2020,36.89073693
12/1/2020,38.1553808
12/2/2020,39.91851537
12/3/2020,41.42872116
12/4/2020,42.56321722
12/5/2020,42.40360197
12/6/2020,43.44724012
12/7/2020,43.88925158
12/8/2020,43.25079059
12/9/2020,42.72283247
12/10/2020,42.87016962
12/11/2020,43.78611557
12/12/2020,44.79169162
12/13/2020,44.1102573
12/14/2020,43.15256582
12/15/2020,42.19487434
12/16/2020,40.94250856
12/17/2020,38.79138617
12/18/2020,35.93304545
12/19/2020,33.92557677
12/20/2020,33.62476342
12/21/2020,33.3914796
12/22/2020,33.94399391
